VehicleId,VehicleType,InitialLoad,RouteSequence,ClientsServed,DemandSatisfied,ArrivalTimes,TotalDistance,TotalTime,Cost
V001,small van,42.0,CD09-C003-C005-C007-C008-CD09,4,15-5-12-10,08:02-08:04-08:29-08:40,21.761,52.2,69887.207
V002,medium van,26.0,CD05-C002-C006-CD05,2,15-11,08:05-08:22,15.635,37.49999999999999,52334.082
V003,medium van,18.0,CD12-C004-C001-CD12,2,6-12,08:25-08:26,20.997,50.400000000000006,70284.51699999999
V005,medium van,15.0,CD11-C009-CD11,1,15,08:08,6.878,16.560000000000002,23020.706
