VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V004,CD03,25.0,CD03-C005-C006-CD03,2,14-11,10.15,24.360000000000003,33975.938
V031,CD11,24.0,CD11-C001-C011-CD11,2,13-11,9.935,23.82,34337.543
V037,CD04,70.0,CD04-C007-C012-C020-C002-C004-CD04,5,9-12-12-15-22,20.448,49.080000000000005,68443.586
V041,CD07,49.0,CD07-C010-C014-C015-CD07,3,25-12-12,14.051,33.720000000000006,47032.14200000001
V043,CD09,10.0,CD09-C009-CD09,1,10,2.146,5.159999999999999,7414.404
V044,CD05,80.0,CD05-C016-C003-C017-C013-C019-C008-C018-CD05,7,12-16-12-8-12-8-12,24.095,57.839999999999996,77379.755
