VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V001,CD01,127.0,CD01-C013-C001-C010-C016-C024-C011-C009-C008-CD01,8,21-13-15-10-11-17-20-20,52.206999999999994,78.30000000000001,28365.585000000003
V002,CD01,138.0,CD01-C023-C014-C003-C018-C002-C019-C007-C021-C012-C020-CD01,10,15-15-12-12-15-11-17-14-12-15,47.109,70.62,25595.944
V008,CD01,112.0,CD01-C006-C022-C015-C004-C017-C005-CD01,6,17-18-17-15-25-20,37.747,56.699999999999996,20509.961000000003
