VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V001,CD01,130.0,CD01-C014-C003-C002-C012-C019-C007-C006-C005-CD01,C014-C003-C002-C012-C019-C007-C006-C005,15-12-15-12-11-17-17-20,57.413000000000004,1.436,311950.92999999993
V002,CD01,140.0,CD01-C018-C017-C009-C001-C004-C015-C011-C008-CD01,C018-C017-C009-C001-C004-C015-C011-C008,12-25-20-13-15-17-17-20,52.400999999999996,1.311,284717.431
V006,CD01,55.0,CD01-C013-C016-C010-CD01,C013-C016-C010,21-10-15,46.662000000000006,1.1660000000000001,253535.74899999998
V008,CD01,114.0,CD01-C020-CD01,C020,15,7.056,0.176,38338.938
